# blastn
# Iteration: 0
# Query: RNess  (18,928 bp)
# RID: S9ZZ8619114
# Database: n/a
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 16 hits found
RNess	HO5096.gb	98.794	3235	39	0	121	3355	1	3235	0.0	5758
RNess	HO5096.gb	91.423	2017	159	13	16835	18844	11884	13893	0.0	2754
RNess	HO5096.gb	86.634	1010	133	2	16324	17332	11884	12892	0.0	1116
RNess	HO5096.gb	85.222	1015	138	11	15302	16310	11884	12892	0.0	1033
RNess	HO5096.gb	86.039	967	127	8	15813	16775	11884	12846	0.0	1031
RNess	HO5096.gb	82.922	1013	160	9	11292	12295	11884	12892	0.0	900
RNess	HO5096.gb	82.498	1017	157	16	11803	12806	11884	12892	0.0	872
RNess	HO5096.gb	82.474	970	157	12	14279	15242	11884	12846	0.0	837
RNess	HO5096.gb	81.244	1013	178	10	14793	15799	11886	12892	0.0	808
RNess	HO5096.gb	80.826	1017	179	14	10781	11789	11884	12892	0.0	784
RNess	HO5096.gb	87.992	508	51	9	14274	14776	12390	12892	1.57e-170	592
RNess	HO5096.gb	83.198	494	79	4	8165	8656	11894	12385	9.97e-128	449
RNess	HO5096.gb	82.283	508	78	12	12309	12810	11884	12385	1.30e-121	429
RNess	HO5096.gb	80.962	499	93	2	17346	17843	11884	12381	4.74e-111	394
RNess	HO5096.gb	91.935	62	3	2	10347	10407	13150	13210	3.24e-18	86.1
RNess	HO5096.gb	94.231	52	3	0	13982	14033	13159	13210	1.51e-16	80.5


