# blastn
# Iteration: 0
# Query: RNess  (18,928 bp)
# RID: S8M8KKD4114
# Database: n/a
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 24 hits found
RNess	MRSA252	98.639	3233	44	0	121	3353	1	3233	0.0	5727
RNess	MRSA252	90.450	3068	253	29	15807	18860	9512	12553	0.0	4006
RNess	MRSA252	84.525	2475	330	34	10355	12806	9093	11537	0.0	2399
RNess	MRSA252	82.747	2046	313	28	15301	17332	9518	11537	0.0	1786
RNess	MRSA252	80.963	2285	357	51	14071	16310	9286	11537	0.0	1738
RNess	MRSA252	83.215	1549	206	36	11286	12810	9512	11030	0.0	1371
RNess	MRSA252	78.842	2004	377	33	14789	16775	9518	11491	0.0	1308
RNess	MRSA252	81.039	1540	248	31	10774	12295	10024	11537	0.0	1186
RNess	MRSA252	79.427	1536	288	20	14271	15799	10023	11537	0.0	1061
RNess	MRSA252	78.609	1510	289	30	16323	17817	9518	11008	0.0	968
RNess	MRSA252	81.828	974	154	12	14274	15242	10536	11491	0.0	797
RNess	MRSA252	79.070	1032	186	23	11797	12810	9512	10531	0.0	682
RNess	MRSA252	79.020	1020	182	22	10780	11789	10540	11537	0.0	669
RNess	MRSA252	79.541	958	172	24	16834	17779	9518	10463	0.0	662
RNess	MRSA252	86.083	503	70	0	12308	12810	9518	10020	1.44e-155	542
RNess	MRSA252	85.801	493	68	2	8165	8656	10040	10531	1.88e-149	521
RNess	MRSA252	83.168	505	81	4	14274	14776	11035	11537	1.50e-130	459
RNess	MRSA252	81.020	490	89	4	8165	8652	11050	11537	7.16e-109	387
RNess	MRSA252	80.606	495	78	7	8165	8656	10551	11030	9.33e-103	366
RNess	MRSA252	80.080	497	89	9	8165	8656	9529	10020	4.34e-101	361
RNess	MRSA252	76.923	507	101	16	17345	17843	9518	10016	5.82e-75	274
RNess	MRSA252	97.590	83	2	0	13981	14063	9093	9175	1.71e-35	143
RNess	MRSA252	91.935	62	3	2	10347	10407	11795	11855	2.93e-18	86.1
RNess	MRSA252	94.231	52	3	0	13982	14033	11804	11855	1.36e-16	80.5


